title,company,location,detail,link
[신입&경력] Python 개발자 채용,주식회사 리본소프트,서울 종로구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37583694&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[게임빌/컴투스/게임빌컴투스플랫폼] 각 부문별 채용,㈜ 컴투스,서울 금천구,"['신입·경력', '대졸↑', '정규직·기간제']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37682607&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
㈜우진산전 전산/생산관리/철도차량 연구 신입 및 경력 채용,㈜우진산전,충북 증평군,"['신입·경력', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37756234&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
부문별 신입/경력 수시채용,(주)티몬,서울 강남구,"['신입·경력', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37684158&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
네이버웹툰 경력사원 모집,네이버웹툰(주),경기 성남시 분당구,"['경력', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37723174&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
NBP 2020 경력사원 모집,네이버비즈니스플랫폼(주),경기 성남시 분당구,"['경력', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37411290&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2020년 상반기 각 부문 신입/경력사원 모집,㈜에이치비테크놀러지,충남 아산시,"['신입·경력', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37713433&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
아름다운가게 2020년 상반기 채용,(재)아름다운가게,서울 중구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37729328&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
㈜신흥 계열사 신입사원 특별 채용,(주)신흥,서울전체 프라스틱제조,"['신입', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37763112&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2020년 각 부문 신입/경력사원 채용,(주)메디트,서울 성북구,"['신입·경력', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37763139&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2020년 상반기 신입 및 경력 채용,(주)문피아,서울 서초구,"['신입·경력', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37634972&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2020년 상반기 현대BS&C 및 관계사 부문별 신입사원 공개채용,현대비에스앤씨(주),서울 중구,"['신입', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37713859&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
㈜다래파크텍 2020년 상반기 공개채용,(주)다래파크텍,서울 송파구,"['신입·경력', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37728381&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
